season,estaca,nido_id,ambiente,huevo,pichon,fecha_puesta,fecha_walkout
s14-15,500,16,,2,0,25/10/2014,3/1/2015
s14-15,500,17,,2,1,25/10/2014,3/1/2015
s14-15,500,18,,2,0,25/10/2014,3/1/2015
s14-15,500,19,,2,2,25/10/2014,3/1/2015
s14-15,500,20,,2,2,25/10/2014,3/1/2015
s14-15,600,1,,2,0,1/11/2014,3/1/2015
s14-15,600,2,,2,0,1/11/2014,3/1/2015
s14-15,600,3,,2,2,1/11/2014,3/1/2015
s14-15,600,4,,2,2,1/11/2014,3/1/2015
s14-15,600,5,,2,2,1/11/2014,3/1/2015
s14-15,600,6,,2,0,1/11/2014,3/1/2015
s14-15,600,7,,2,2,1/11/2014,3/1/2015
s14-15,600,8,,2,0,1/11/2014,3/1/2015
s14-15,600,9,,2,2,1/11/2014,3/1/2015
s14-15,600,10,,2,2,1/11/2014,3/1/2015
s14-15,600,11,,2,1,1/11/2014,3/1/2015
s14-15,600,12,,2,0,1/11/2014,3/1/2015
s14-15,600,13,,2,2,1/11/2014,3/1/2015
s14-15,600,14,,2,2,1/11/2014,3/1/2015
s14-15,600,15,,2,2,1/11/2014,3/1/2015
s14-15,600,16,,2,0,1/11/2014,3/1/2015
s14-15,600,17,,2,0,1/11/2014,3/1/2015
s14-15,600,18,,2,1,1/11/2014,3/1/2015
s14-15,600,19,,2,1,1/11/2014,3/1/2015
s14-15,600,20,,2,1,1/11/2014,3/1/2015
s15-16,3,1,cueva,2,2,1/11/2015,3/1/2016
s15-16,3,2,cueva,2,0,1/11/2015,3/1/2016
s15-16,3,3,cueva,2,0,1/11/2015,3/1/2016
s15-16,3,4,cueva,2,1,1/11/2015,3/1/2016
s15-16,3,5,cueva,2,0,1/11/2015,3/1/2016
s15-16,3,6,mata,2,0,1/11/2015,3/1/2016
s15-16,3,7,mata,2,2,1/11/2015,3/1/2016
s15-16,3,8,mata,2,2,1/11/2015,3/1/2016
s15-16,3,9,mata,2,0,1/11/2015,3/1/2016
s15-16,3,10,mata,2,0,1/11/2015,3/1/2016
s15-16,7,1,cueva,2,2,1/11/2015,3/1/2016
s15-16,7,2,cueva,2,0,1/11/2015,3/1/2016
s15-16,7,3,cueva,2,2,1/11/2015,3/1/2016
s15-16,7,4,mata,2,0,1/11/2015,3/1/2016
s15-16,7,5,mata,2,2,1/11/2015,3/1/2016
s15-16,7,6,mata,2,2,1/11/2015,3/1/2016
s15-16,7,7,mata,2,2,1/11/2015,3/1/2016
s15-16,7,8,mata,2,2,1/11/2015,3/1/2016
s15-16,7,9,mata,2,2,1/11/2015,3/1/2016
s15-16,7,10,mata,2,0,1/11/2015,3/1/2016
s15-16,9,1,mata,2,2,1/11/2015,17/12/2015
s15-16,9,2,mata,2,1,1/11/2015,17/12/2015
s15-16,9,3,mata,2,2,1/11/2015,17/12/2015
s15-16,9,4,mata,1,0,1/11/2015,17/12/2015
s15-16,9,5,mata,2,2,1/11/2015,17/12/2015
s15-16,9,6,mata,2,0,1/11/2015,17/12/2015
s15-16,9,7,mata,2,2,1/11/2015,17/12/2015
s15-16,9,8,mata,2,2,1/11/2015,17/12/2015
s15-16,9,9,mata,2,2,1/11/2015,17/12/2015
s15-16,9,10,mata,2,2,1/11/2015,17/12/2015
s15-16,13,1,cueva,2,2,1/11/2015,17/12/2015
s15-16,13,2,cueva,2,0,1/11/2015,17/12/2015
