arroyo;fecha;hora;am_pm;pabs;temp;manejo
16;5/2/2018;10:26:17;AM;745,85;7,381;sin
16;5/2/2018;11:26:17;AM;745,29;7,682;sin
16;5/2/2018;12:26:17;PM;745,15;8,082;sin
16;5/2/2018;01:26:17;PM;744,95;8,581;sin
16;5/2/2018;02:26:17;PM;744,44;8,779;sin
16;5/2/2018;03:26:17;PM;744,14;8,779;sin
16;5/2/2018;04:26:17;PM;743,81;8,68;sin
16;5/2/2018;05:26:17;PM;743,33;8,581;sin
16;5/2/2018;06:26:17;PM;743,33;8,581;sin
16;5/2/2018;07:26:17;PM;742,92;8,481;sin
16;5/2/2018;08:26:17;PM;743,05;8,382;sin
16;5/2/2018;09:26:17;PM;742,57;8,282;sin
16;5/2/2018;10:26:17;PM;742,08;8,182;sin
16;5/2/2018;11:26:17;PM;741,75;8,082;sin
16;6/2/2018;12:26:17;AM;741,2;7,983;sin
16;6/2/2018;01:26:17;AM;740,94;7,882;sin
16;6/2/2018;02:26:17;AM;740,63;7,882;sin
16;6/2/2018;03:26:17;AM;740,38;7,782;sin
16;6/2/2018;04:26:17;AM;739,97;7,682;sin
16;6/2/2018;05:26:17;AM;739,8;7,582;sin
16;6/2/2018;06:26:17;AM;739,63;7,481;sin
